file_name,video_name,scores,labels,boxes
63.jpg,VMSExportKOAK03,0.45911694,0,"[array([0.52478266, 0.1297716 , 0.13547198, 0.08908774], dtype=float32)]"
63.jpg,VMSExportKOAK03,0.37335557,1,"[array([0.7345361 , 0.13758592, 0.1448714 , 0.2735688 ], dtype=float32)]"
63.jpg,VMSExportKOAK03,0.46918365,2,"[array([0.49072528, 0.32467857, 0.3037323 , 0.55951625], dtype=float32)]"
62.jpg,VMSExportKOAK03,0.46686026,0,"[array([0.52536386, 0.1293324 , 0.13461724, 0.08900958], dtype=float32)]"
62.jpg,VMSExportKOAK03,0.3517208,1,"[array([0.7355944 , 0.13795285, 0.14647733, 0.27327845], dtype=float32)]"
62.jpg,VMSExportKOAK03,0.46027574,2,"[array([0.48479402, 0.32466677, 0.29385886, 0.5624173 ], dtype=float32)]"
60.jpg,VMSExportKOAK03,0.33127975,1,"[array([0.7357877 , 0.138404  , 0.14478919, 0.27506435], dtype=float32)]"
60.jpg,VMSExportKOAK03,0.44051322,0,"[array([0.5324899 , 0.12827674, 0.12880042, 0.08925081], dtype=float32)]"
60.jpg,VMSExportKOAK03,0.46231243,2,"[array([0.4873973, 0.3277272, 0.2876546, 0.5661613], dtype=float32)]"
60.jpg,VMSExportKOAK03,0.42443758,1,"[array([0.2232172 , 0.44937885, 0.1901971 , 0.4376741 ], dtype=float32)]"
48.jpg,VMSExportKOAK03,0.4125326,0,"[array([0.5164093 , 0.13143393, 0.1278579 , 0.08642656], dtype=float32)]"
48.jpg,VMSExportKOAK03,0.45038766,1,"[array([0.31497613, 0.28143397, 0.1889582 , 0.39572597], dtype=float32)]"
48.jpg,VMSExportKOAK03,0.4490925,2,"[array([0.49986753, 0.33302036, 0.30587453, 0.55868876], dtype=float32)]"
49.jpg,VMSExportKOAK03,0.44793674,0,"[array([0.529205  , 0.1321263 , 0.13725232, 0.08412129], dtype=float32)]"
49.jpg,VMSExportKOAK03,0.33243173,1,"[array([0.7268541 , 0.13754441, 0.12990633, 0.2709974 ], dtype=float32)]"
49.jpg,VMSExportKOAK03,0.47733843,2,"[array([0.48095256, 0.32507655, 0.2862575 , 0.55629236], dtype=float32)]"
49.jpg,VMSExportKOAK03,0.49207157,1,"[array([0.24622974, 0.28336793, 0.17849562, 0.39813253], dtype=float32)]"
49.jpg,VMSExportKOAK03,0.39632946,1,"[array([0.7959923 , 0.59697056, 0.25071865, 0.29758087], dtype=float32)]"
61.jpg,VMSExportKOAK03,0.34232593,1,"[array([0.73599476, 0.13536409, 0.14365008, 0.27016017], dtype=float32)]"
61.jpg,VMSExportKOAK03,0.44445598,0,"[array([0.52659523, 0.12963541, 0.14035091, 0.08942206], dtype=float32)]"
61.jpg,VMSExportKOAK03,0.4631315,2,"[array([0.49061668, 0.32621485, 0.3000069 , 0.55916893], dtype=float32)]"
61.jpg,VMSExportKOAK03,0.36675268,1,"[array([0.20872575, 0.5581573 , 0.24243943, 0.3707973 ], dtype=float32)]"
59.jpg,VMSExportKOAK03,0.3267412,1,"[array([0.7371443 , 0.1383125 , 0.14635983, 0.27596742], dtype=float32)]"
59.jpg,VMSExportKOAK03,0.4522625,0,"[array([0.51898736, 0.13051865, 0.13768882, 0.08818883], dtype=float32)]"
59.jpg,VMSExportKOAK03,0.42518505,1,"[array([0.20438647, 0.28735805, 0.15086678, 0.3909041 ], dtype=float32)]"
59.jpg,VMSExportKOAK03,0.4184813,1,"[array([0.32531875, 0.33654472, 0.16653405, 0.44312724], dtype=float32)]"
59.jpg,VMSExportKOAK03,0.4375828,2,"[array([0.4910601 , 0.3333308 , 0.29763204, 0.5675985 ], dtype=float32)]"
65.jpg,VMSExportKOAK03,0.45331174,0,"[array([0.52676946, 0.130884  , 0.1371921 , 0.09023885], dtype=float32)]"
65.jpg,VMSExportKOAK03,0.3305895,1,"[array([0.7361218 , 0.13712086, 0.14288348, 0.26782537], dtype=float32)]"
65.jpg,VMSExportKOAK03,0.45856005,1,"[array([0.25548992, 0.30196676, 0.23892166, 0.39308515], dtype=float32)]"
65.jpg,VMSExportKOAK03,0.44401056,2,"[array([0.49362057, 0.326376  , 0.30725765, 0.56813765], dtype=float32)]"
64.jpg,VMSExportKOAK03,0.45851275,0,"[array([0.5255319 , 0.12998286, 0.13445413, 0.08777246], dtype=float32)]"
64.jpg,VMSExportKOAK03,0.3595504,1,"[array([0.7351631 , 0.13772832, 0.14482911, 0.27015227], dtype=float32)]"
64.jpg,VMSExportKOAK03,0.48814386,2,"[array([0.48661512, 0.32345524, 0.2900553 , 0.5562434 ], dtype=float32)]"
58.jpg,VMSExportKOAK03,0.31410703,1,"[array([0.73724097, 0.13679595, 0.14579697, 0.27228242], dtype=float32)]"
58.jpg,VMSExportKOAK03,0.4222445,0,"[array([0.52898264, 0.12836996, 0.13198064, 0.08839609], dtype=float32)]"
58.jpg,VMSExportKOAK03,0.3757082,1,"[array([0.23423152, 0.25252298, 0.1268806 , 0.3903105 ], dtype=float32)]"
58.jpg,VMSExportKOAK03,0.4069536,1,"[array([0.32424864, 0.33158123, 0.15719119, 0.4636004 ], dtype=float32)]"
58.jpg,VMSExportKOAK03,0.44048262,2,"[array([0.49972454, 0.329148  , 0.29726994, 0.5749653 ], dtype=float32)]"
8.jpg,VMSExportKOAK03,0.42231822,0,"[array([0.5461525 , 0.09822155, 0.13799024, 0.10074035], dtype=float32)]"
8.jpg,VMSExportKOAK03,0.30760115,1,"[array([0.21565785, 0.24041522, 0.20500475, 0.3819209 ], dtype=float32)]"
8.jpg,VMSExportKOAK03,0.46134293,2,"[array([0.52120644, 0.28669348, 0.2766296 , 0.55131274], dtype=float32)]"
9.jpg,VMSExportKOAK03,0.42003667,0,"[array([0.54604834, 0.10055639, 0.13715254, 0.10100441], dtype=float32)]"
9.jpg,VMSExportKOAK03,0.46827546,2,"[array([0.5096257 , 0.28513032, 0.25230604, 0.54634005], dtype=float32)]"
9.jpg,VMSExportKOAK03,0.38166758,1,"[array([0.28703648, 0.37733498, 0.16951708, 0.4245577 ], dtype=float32)]"
14.jpg,VMSExportKOAK03,0.38298,0,"[array([0.52050054, 0.12461418, 0.1392719 , 0.108313  ], dtype=float32)]"
14.jpg,VMSExportKOAK03,0.45372528,1,"[array([0.35108772, 0.19595592, 0.12602344, 0.36772212], dtype=float32)]"
14.jpg,VMSExportKOAK03,0.47525752,2,"[array([0.48405248, 0.32750344, 0.2973196 , 0.5843417 ], dtype=float32)]"
28.jpg,VMSExportKOAK03,0.3729056,1,"[array([0.39742702, 0.15467004, 0.16368914, 0.30454105], dtype=float32)]"
28.jpg,VMSExportKOAK03,0.3128267,0,"[array([0.5036104 , 0.13469201, 0.10785514, 0.07381043], dtype=float32)]"
28.jpg,VMSExportKOAK03,0.4365069,2,"[array([0.5035333 , 0.35729286, 0.29827902, 0.53914744], dtype=float32)]"
29.jpg,VMSExportKOAK03,0.38037965,1,"[array([0.39560816, 0.16737016, 0.17044567, 0.33126444], dtype=float32)]"
29.jpg,VMSExportKOAK03,0.44381073,2,"[array([0.49523643, 0.3450618 , 0.29532933, 0.5464023 ], dtype=float32)]"
15.jpg,VMSExportKOAK03,0.42551392,1,"[array([0.39166036, 0.1544446 , 0.1332302 , 0.30351555], dtype=float32)]"
15.jpg,VMSExportKOAK03,0.395479,0,"[array([0.5273131 , 0.12734945, 0.13241547, 0.10324834], dtype=float32)]"
15.jpg,VMSExportKOAK03,0.44379008,2,"[array([0.485465  , 0.3290919 , 0.30354446, 0.570581  ], dtype=float32)]"
17.jpg,VMSExportKOAK03,0.4307769,0,"[array([0.52378273, 0.12961544, 0.14354023, 0.10580853], dtype=float32)]"
17.jpg,VMSExportKOAK03,0.49737492,2,"[array([0.49722627, 0.3256796 , 0.28949487, 0.5861169 ], dtype=float32)]"
16.jpg,VMSExportKOAK03,0.45568892,1,"[array([0.37716225, 0.1713313 , 0.1277554 , 0.33023375], dtype=float32)]"
16.jpg,VMSExportKOAK03,0.37880254,0,"[array([0.5215823 , 0.12843776, 0.13020705, 0.10273863], dtype=float32)]"
16.jpg,VMSExportKOAK03,0.4435092,2,"[array([0.5042803 , 0.32630888, 0.2933052 , 0.57914346], dtype=float32)]"
12.jpg,VMSExportKOAK03,0.42118832,1,"[array([0.41564792, 0.18273556, 0.16737676, 0.3620839 ], dtype=float32)]"
12.jpg,VMSExportKOAK03,0.3514947,0,"[array([0.5226574 , 0.12393054, 0.1456424 , 0.10877801], dtype=float32)]"
12.jpg,VMSExportKOAK03,0.36493063,2,"[array([0.48717648, 0.2217809 , 0.25742584, 0.36913812], dtype=float32)]"
12.jpg,VMSExportKOAK03,0.40654796,2,"[array([0.494141  , 0.3041962 , 0.30854028, 0.49330556], dtype=float32)]"
13.jpg,VMSExportKOAK03,0.39212298,0,"[array([0.5228734 , 0.12422076, 0.14495161, 0.1072795 ], dtype=float32)]"
13.jpg,VMSExportKOAK03,0.44497892,1,"[array([0.41024435, 0.18195066, 0.15913668, 0.35732275], dtype=float32)]"
13.jpg,VMSExportKOAK03,0.46856833,2,"[array([0.50367165, 0.33096972, 0.3252173 , 0.54712445], dtype=float32)]"
39.jpg,VMSExportKOAK03,0.436222,1,"[array([0.3963947 , 0.1967842 , 0.16646053, 0.3889941 ], dtype=float32)]"
39.jpg,VMSExportKOAK03,0.33069307,0,"[array([0.54624593, 0.13527   , 0.1009415 , 0.06255981], dtype=float32)]"
39.jpg,VMSExportKOAK03,0.34980583,1,"[array([0.7313389 , 0.19855438, 0.1743803 , 0.3111986 ], dtype=float32)]"
39.jpg,VMSExportKOAK03,0.43765813,2,"[array([0.501894  , 0.34619883, 0.3020125 , 0.5315611 ], dtype=float32)]"
11.jpg,VMSExportKOAK03,0.36521614,1,"[array([0.4030047 , 0.14793512, 0.17109399, 0.29183966], dtype=float32)]"
11.jpg,VMSExportKOAK03,0.33676198,0,"[array([0.53811693, 0.11272487, 0.13751389, 0.10691526], dtype=float32)]"
11.jpg,VMSExportKOAK03,0.42614624,2,"[array([0.50176644, 0.270027  , 0.29065847, 0.46626267], dtype=float32)]"
11.jpg,VMSExportKOAK03,0.3168876,1,"[array([0.18079637, 0.40848067, 0.24993838, 0.42732567], dtype=float32)]"
10.jpg,VMSExportKOAK03,0.3793457,1,"[array([0.41797492, 0.15167685, 0.16993693, 0.30008265], dtype=float32)]"
10.jpg,VMSExportKOAK03,0.37214774,0,"[array([0.5452306 , 0.1015595 , 0.13522366, 0.09835082], dtype=float32)]"
10.jpg,VMSExportKOAK03,0.30653584,1,"[array([0.22553511, 0.27739573, 0.19700244, 0.37693322], dtype=float32)]"
10.jpg,VMSExportKOAK03,0.44948262,2,"[array([0.50269014, 0.27489245, 0.25823894, 0.50628567], dtype=float32)]"
38.jpg,VMSExportKOAK03,0.31844312,0,"[array([0.5382052 , 0.13834405, 0.18054429, 0.10332324], dtype=float32)]"
38.jpg,VMSExportKOAK03,0.3355212,0,"[array([0.5481457 , 0.14209755, 0.1057613 , 0.08616702], dtype=float32)]"
38.jpg,VMSExportKOAK03,0.42624274,1,"[array([0.38468108, 0.20828615, 0.1541795 , 0.3809393 ], dtype=float32)]"
38.jpg,VMSExportKOAK03,0.46837816,2,"[array([0.48684448, 0.33703244, 0.28642872, 0.55291396], dtype=float32)]"
21.jpg,VMSExportKOAK03,0.43271446,0,"[array([0.5201753 , 0.12554935, 0.1385935 , 0.10403433], dtype=float32)]"
21.jpg,VMSExportKOAK03,0.46866664,2,"[array([0.47000197, 0.3346243 , 0.3065906 , 0.5856635 ], dtype=float32)]"
35.jpg,VMSExportKOAK03,0.4636967,0,"[array([0.5227569 , 0.14271492, 0.13623062, 0.09009663], dtype=float32)]"
35.jpg,VMSExportKOAK03,0.31469992,1,"[array([0.80132484, 0.2817212 , 0.26653978, 0.19138485], dtype=float32)]"
35.jpg,VMSExportKOAK03,0.47340158,2,"[array([0.49632046, 0.33333665, 0.2797346 , 0.55321157], dtype=float32)]"
35.jpg,VMSExportKOAK03,0.30153328,1,"[array([0.869335  , 0.61614054, 0.239299  , 0.2675188 ], dtype=float32)]"
34.jpg,VMSExportKOAK03,0.3257809,1,"[array([0.6733791 , 0.10692733, 0.12523824, 0.21330123], dtype=float32)]"
34.jpg,VMSExportKOAK03,0.4191589,0,"[array([0.5101693 , 0.1419887 , 0.12506494, 0.09054424], dtype=float32)]"
34.jpg,VMSExportKOAK03,0.33439147,1,"[array([0.79100865, 0.28574857, 0.25683188, 0.20709395], dtype=float32)]"
34.jpg,VMSExportKOAK03,0.46164674,2,"[array([0.49614105, 0.3392524 , 0.27792645, 0.54545325], dtype=float32)]"
20.jpg,VMSExportKOAK03,0.3845434,0,"[array([0.51880294, 0.12581237, 0.13225771, 0.10358478], dtype=float32)]"
20.jpg,VMSExportKOAK03,0.4800806,2,"[array([0.48403817, 0.3332071 , 0.2949116 , 0.592416  ], dtype=float32)]"
36.jpg,VMSExportKOAK03,0.40150636,0,"[array([0.51845384, 0.14193502, 0.14032476, 0.09131063], dtype=float32)]"
36.jpg,VMSExportKOAK03,0.45711914,2,"[array([0.50719744, 0.3342205 , 0.2938769 , 0.55957776], dtype=float32)]"
22.jpg,VMSExportKOAK03,0.42205355,0,"[array([0.5244005 , 0.12900782, 0.14029026, 0.10641247], dtype=float32)]"
22.jpg,VMSExportKOAK03,0.45568466,2,"[array([0.47971088, 0.33431488, 0.311035  , 0.58519006], dtype=float32)]"
23.jpg,VMSExportKOAK03,0.4467096,0,"[array([0.52356327, 0.12815893, 0.14442694, 0.10444336], dtype=float32)]"
23.jpg,VMSExportKOAK03,0.45822212,2,"[array([0.4975073 , 0.32923338, 0.30965668, 0.57649446], dtype=float32)]"
37.jpg,VMSExportKOAK03,0.39740852,1,"[array([0.76681685, 0.14246953, 0.10694341, 0.2844866 ], dtype=float32)]"
37.jpg,VMSExportKOAK03,0.33375415,0,"[array([0.5503567 , 0.1373188 , 0.16510987, 0.09716178], dtype=float32)]"
37.jpg,VMSExportKOAK03,0.33543843,0,"[array([0.5353487 , 0.15208648, 0.1207308 , 0.07413152], dtype=float32)]"
37.jpg,VMSExportKOAK03,0.41729444,1,"[array([0.37487325, 0.22573896, 0.18212062, 0.39402846], dtype=float32)]"
37.jpg,VMSExportKOAK03,0.4489482,2,"[array([0.5112403 , 0.35823414, 0.28824103, 0.5166813 ], dtype=float32)]"
33.jpg,VMSExportKOAK03,0.4348247,0,"[array([0.52307266, 0.14440143, 0.13108215, 0.09202716], dtype=float32)]"
33.jpg,VMSExportKOAK03,0.4790506,2,"[array([0.4971779 , 0.33384618, 0.28110793, 0.5513081 ], dtype=float32)]"
27.jpg,VMSExportKOAK03,0.39156145,1,"[array([0.398871  , 0.1624091 , 0.15765601, 0.3234958 ], dtype=float32)]"
27.jpg,VMSExportKOAK03,0.35361722,0,"[array([0.5032071 , 0.13436963, 0.10643759, 0.07938524], dtype=float32)]"
27.jpg,VMSExportKOAK03,0.4638676,2,"[array([0.48646995, 0.3283947 , 0.27511498, 0.5547846 ], dtype=float32)]"
26.jpg,VMSExportKOAK03,0.40306953,1,"[array([0.39421564, 0.16431853, 0.15556926, 0.32598588], dtype=float32)]"
26.jpg,VMSExportKOAK03,0.33779708,0,"[array([0.5070342 , 0.131339  , 0.11141492, 0.08910437], dtype=float32)]"
26.jpg,VMSExportKOAK03,0.4669394,2,"[array([0.49080998, 0.32046315, 0.27384996, 0.551354  ], dtype=float32)]"
26.jpg,VMSExportKOAK03,0.31797025,1,"[array([0.7923652 , 0.3568064 , 0.24387501, 0.29974785], dtype=float32)]"
32.jpg,VMSExportKOAK03,0.4037804,1,"[array([0.39991122, 0.15104806, 0.13828652, 0.30069947], dtype=float32)]"
